name	ALK_5p.E1E2.ENST00000389048	BRAF_5p.E1E2.ENST00000288602	ERBB4_5p.E1E2.ENST00000342788	FGFR2_5p.E1E2.ENST00000358487	LTK_5p.E1E2.ENST00000263800	MET_5p.E1E2.ENST00000397752	NTRK1_5p.E1E2.ENST00000392302	NTRK3_5p.E1E2.ENST00000394480	RAF1_5p.E1E2.ENST00000251849	RET_5p.E1E2.ENST00000355710	ROS1_5p.E1E2.ENST00000368508	THADA_5p.E1E2.ENST00000415080
R141	0.1023470944250356	0.0301628696550706	0.0007380800078728	0.1272449933572799	0.0090045760960488	0.0086601387590414	4.920533385819023e-05	0.0	0.00054125867244	0.0023618560251931	0.0003936426708655	0.0699699847463465
R142	0.0974357397614069	0.0166851145820522	0.0010453818718484	0.0403906858524986	0.0040790390685852	0.0146763415734022	8.199073504693969e-05	0.0	0.0014553355470831	0.0003279629401877	0.0015783216496535	0.0153937605050629
R143	0.0004247862794031	0.0533106780650984	0.0021239313970158	0.2023575638506876	0.0004247862794031	0.0014867519779111	0.0	0.0	0.0	0.0	0.0	0.0592576859767429
R144	0.1583283935981031	0.1521043272080616	0.0628334321280379	0.3176644931831653	0.0024303497332542	0.0187314759928867	0.0	0.0117960877296976	0.0095435684647302	0.0646117368109069	0.0228808535862477	0.1014226437462952
R146	0.0039569852427726	0.0160762223980882	0.0023586735564762	0.0403612494762813	0.0045776888102664	0.002032804183542	0.0001862110702481	0.0002482814269975	6.207035674937542e-05	0.0018310755241065	0.0	0.0178917803330074
R147	0.0322323980254611	0.07831579631073	0.0059593400883346	0.1371135359833723	0.0031826448428163	0.0494121849831125	0.0	0.0	0.0013315146791374	0.0	0.0312094050402702	0.0631170433878929
R156	0.2898045929511778	0.4321978865340339	0.0063758191156502	0.2792372631206092	0.0	0.0	0.0	0.0025975559360056	0.0	0.118011689001712	0.0037782631796446	0.0014168486923667
R157	0.0633302440531356	0.1288229842446709	0.0027803521779425	0.5339820821748532	0.0080321285140562	0.0407784986098239	0.0	0.0	0.0	0.0940685820203892	0.0	0.044794562866852
R159	0.1665492304839607	0.0966437975152976	0.0402188021509364	0.1532542184312998	0.0072501390691637	0.0213795661042091	0.0010198405340255	0.012961246059707	0.0207862043389579	0.0283144817355831	0.3284813647320601	0.113702948266271
R160	0.1018023105563904	0.0208562650152665	0.0014740086334791	0.0601567809182882	0.0077337595834489	0.0190855403581649	0.0	0.0	0.0004115738392182	0.0003828593853192	0.0048240282550226	0.0098394862027049
R162	0.0060200668896321	0.2	0.0	0.5079152731326645	0.0	0.0062430323299888	0.0	0.0008918617614269	0.0001114827201783	0.0008918617614269	0.0	0.0445930880713489
R163	0.0169381693816938	0.021420214202142	0.0100621006210062	0.0497884978849788	0.0021240212402124	0.0088380883808838	0.0	0.0001440014400144	0.0014220142201422	0.0005580055800558	0.0	0.0080460804608046
R164	0.1143544989467348	0.0391642663685998	0.0195606379777309	0.0491810326297235	0.0013756932204118	0.0025794247882722	8.598082627574051e-05	0.0	0.0	0.1081638794548815	0.0	0.0146597308800137
R165	0.0175580156860213	0.0695865474615111	0.0245941322660814	0.21022818965239	0.0011619275086337	0.0107155536907336	0.0007100668108317	0.0043733660394409	0.0053093631991737	0.0935835780912113	0.0001936545847722	0.082206371235839
R166	0.1964986417144582	0.0348324781165107	0.0050709326894053	0.0692423785089043	0.0030787805614246	0.0258376094174464	0.0	0.0047087232115907	0.0	0.0051313009357078	0.0	0.029580440688198
R167	0.0579489134578726	0.0243995425085779	0.000762485703393	0.0483701868089973	0.0015726267632481	0.0156627271571991	0.0	0.0001906214258482	0.0017791333079171	0.0022239166348964	0.0	0.0113102046003304
R168	0.0258595653875778	0.0169198328219503	0.000782857936538	0.0355947826306552	0.000252534818238	0.0428551586549995	0.0	0.0005303231182999	0.0004040557091809	0.0006565905274189	0.0	0.0064901448287182
R170	0.0386079541521892	0.0163485098077215	0.0016611525630199	0.0480211520093024	0.0086795221417793	0.0109497639779066	0.0	0.0001107435042013	8.305762815099877e-05	2.7685876050332923e-05	0.0027685876050332	0.0113512091806364
R171	0.0	0.0177910324969148	0.0006757947934418	0.0861491449726743	0.0011606041017805	0.0010136921901627	0.0	0.0	0.0001616031027795	0.0	0.0	0.0210965505083152
R172	0.0015503537426849	0.0119442746091361	0.0008297667918595	0.0469036597082714	0.00179054939296	0.0020307450432352	0.0	0.0	0.0001746877456546	0.0	0.0	0.0471656913267534
R173	0.0598561821304841	0.0508893999825322	0.0003639116131473	0.0582840839616873	0.0026056071501353	0.0107135578910594	0.0003493551486215	0.0004366939357768	0.0042504876415616	0.001251855949227	0.0029695187632827	0.0628693702873446
R174	0.0	0.0821763276640055	0.0038181187087816	0.2890489413398125	0.005206525511975	0.005206525511975	0.0	0.0	0.002690038181187	0.0006942034015966	0.0	0.1348490107601527
R175	0.0021346605182153	0.012914106449977	9.434963616421556e-05	0.0695828566711089	0.0007783844983547	0.0016982934509558	0.0	0.0	0.0006132726350674	0.0	0.0	0.0056138033517708
R176	1.3933181473044798	0.3082763857251329	0.0	1.0508731966590736	0.0516324981017463	0.1693242217160212	0.0	0.0	0.0	0.0030372057706909	0.0	0.3804100227790433
R177	0.0549101634213139	0.0532097390676257	0.000948024197189	0.2204532458542751	0.0081861137027116	0.0241821410298853	0.0	0.0003611520751196	0.0034760887230264	0.0023474884882776	0.1410599813404761	0.0641195413368646
R179	0.1651628365994642	0.022557451008036	0.0054983786832087	0.067531368955308	0.001268856619202	0.0367968419568588	0.0	0.0005639362752009	0.0	0.0276328774848442	0.0046524742704074	0.0167771041872268
R181	0.0657959233691434	0.0125505494056615	0.0004289040480372	0.0499979575997712	0.0084044769413014	0.0302275233854826	0.0	0.0026755442996609	0.0003267840365998	0.0004799640537559	0.0021955802459049	0.0054021486050406
R187	0.0009520409377603	0.0212339130582615	0.0093844035293517	0.1262984308325258	0.0133965760527702	0.015385661583448	0.0001360058482514	0.00023801023444	0.0012580540963261	0.0004080175447544	0.0	0.0093334013362574
R188	0.0019134367537991	0.0405775100020557	0.0111010958774135	0.2360485159005013	0.003716178819362	0.0052659044546705	0.0021822667109445	0.0006009140218542	0.0066258677672881	0.0089188291664689	0.0015180985815266	0.0511725730189604
R191	0.3431017516236961	0.0610116118874237	0.0110608148002361	0.2605983074197992	0.0013973627238732	0.0352883290690808	0.0	0.0040346388506199	0.0043692186577445	0.0892147215115134	0.0001968116512497	0.1032867545758708
R192	0.4630593132154006	0.1545265348595213	0.0	0.9037460978147764	0.0062434963579604	0.0104058272632674	0.0	0.0	0.0	0.0020811654526534	0.0	0.0832466181061394
R193	0.1116285086017332	0.0394515586599405	0.0055620230241883	0.4203854611305135	0.0028456861984219	0.1158970378993661	0.0	0.0036217824343551	0.0	0.0018108912171775	0.0	0.0173328159358427
R194	0.4478079331941544	0.151356993736952	0.0	0.673277661795407	0.0083507306889352	0.0292275574112734	0.0	0.0	0.0	0.0	0.0	0.0292275574112734
R195	0.125	0.1	0.0	0.3770833333333333	0.0	0.0083333333333333	0.0	0.0	0.0	0.0	0.0	0.0875
R196	0.2129729729729729	0.077027027027027	0.0	0.6889189189189189	0.0043243243243243	0.0021621621621621	0.0	0.0	0.0	0.0	0.0	0.0208108108108108
R197	0.0618806948897704	0.0204880169556002	0.0048185787004329	0.0863721174573845	0.0220277883448363	0.041084723656323	0.0	0.0026447837979819	0.0008695179609803	0.0007245983008169	0.0004347589804901	0.0076082821585783
R198	0.2658818302976455	0.0404264771212794	0.0035539760106619	0.1690359840071079	0.0062194580186583	0.0330964015992892	0.0	0.0044424700133274	0.0	0.0	0.0253220790759662	0.0297645490892936
R199	0.2257380525199804	0.0422443320828576	0.0	0.1172728755504811	0.0039145327026586	0.0283803620942749	0.0	0.0013048442342195	0.0	0.0057086935247104	0.0013048442342195	0.0207144022182351
R202	0.042215909090909	0.0227272727272727	0.0045454545454545	0.0435227272727272	0.000965909090909	0.009090909090909	0.0	0.0014772727272727	0.0	0.0002272727272727	0.0	0.0168181818181818
R203	0.0612030929186143	0.018304136997073	0.001223188152549	0.0309291861430256	0.0013979293171988	0.0055480319776331	0.0005242234939495	0.0	0.0	0.001223188152549	0.0	0.0112708051199161
R204	0.0021632897456203	0.0401174357290479	0.0011975353948969	0.0177698800533096	0.0069148011511791	0.0001545206961157	0.0	0.0001738357831302	0.0	0.0	0.0	0.0592393718733702
R205	0.0	0.0538761546356483	0.0346219637358877	0.2669449196031474	0.0	0.0001094765651727	0.0	0.0	0.0003147451248717	0.0025179609989736	0.0007115976736229	0.1243653780362641
R209	0.0820740329959794	0.0128240676556217	0.0013863856924996	0.0201025925412449	0.0011091085539997	0.0021488978233744	0.0	0.0011091085539997	0.0	0.0002772771384999	0.0002772771384999	0.0042977956467489
R210	0.0457163803937997	0.0191139505655634	0.0024088814411395	0.1313887725178047	0.0028278173439463	0.0626309174696271	0.0	0.0013615416841223	0.0	0.002932551319648	0.0	0.0057603686635944
R211	0.0	0.0163445774752844	0.0015897461374136	0.0995578518555318	0.0	0.0001987182671767	0.0	0.0	0.0	0.000298077400765	0.0	0.0052660340801828
R213	0.000610419090857	0.0250271827251397	0.000610419090857	0.173301795013639	0.0022127692043568	0.0009919310226427	0.0	0.0005531923010892	0.0	0.0001526047727142	0.0	0.0071342731243919
R214	0.0101651842439644	0.2884371029224905	0.0	1.51715374841169	0.0	0.0	0.0	0.0	0.0	0.0203303684879288	0.0	0.0101651842439644
R215	0.0007588692847656	0.0322519446025422	0.0030354771390627	0.182697780307342	0.0	0.0032251944602542	0.0	0.0	0.0015177385695313	0.0003794346423828	0.0	0.0099601593625498
R216	0.0086408904510837	0.0252950037660055	0.0085153569336346	0.0831450330571595	0.0055234747677629	0.0342078835048958	0.0	0.0015900912210226	0.0014227131977571	0.0001673780232655	0.0032429492007699	0.0061092978491924
R217	0.0319811479548897	0.0595859282948998	0.0013465746507322	0.3023060090893789	0.0080794479043932	0.1940750715367783	0.0	0.0053862986029288	0.0016832183134152	0.0006732873253661	0.0	0.0255849183639117
R220	0.1703853955375253	0.1137351492321066	0.002318168646769	1.456244566792234	0.0144885540423065	0.1211243117936829	0.0	0.0017386264850767	0.0	0.0249203129527673	0.0	0.0476673427991886
R224	0.0058412765844462	0.0970713963306162	0.000955845259273	0.5850304011894963	0.0130101160289939	0.004726123781961	0.0005310251440405	0.0	0.0002124100576162	0.0048323288107691	0.0001593075432121	0.0294718954942516
R225	0.0004929978893527	0.0946401885716926	0.001571430772312	1.1302284737093469	0.0013403380116778	0.0024958018148484	0.0001232494723381	0.0	4.621855212682371e-05	0.0145434377359071	0.0	0.0104145804125776
R228	0.2515242212615009	0.1165059306063629	0.0026604589291652	0.5561467686509256	0.0227247533532867	0.0171821305841924	0.0	0.0	0.000886819643055	0.0208402616117947	0.0035472785722203	0.0514355392971954
R229	0.1931936676462224	0.1829557304009858	0.0	0.7570385818561001	0.0068252914968243	0.0255948431130912	0.0	0.0007583657218693	0.0022750971656081	0.0	0.0003791828609346	0.0639871077827282
R230	0.0097927533625117	0.0283390291184523	0.0023982253132681	0.0491236485001099	0.0002997781641585	0.0134100765433579	0.0	0.0	0.0001598816875512	0.0	0.0	0.0031976337510242
R231	0.0014631401238041	0.0678671918964547	0.0110298255486775	0.4703432751828925	0.0076533483398987	0.049296567248171	0.0	0.000900393922341	0.0011254924029262	0.0042768711311198	0.0	0.0200337647720877
R232	0.0004907674375805	0.141156984234096	0.0	0.7319796331513404	0.0074842034231028	0.0028219127660879	0.0	0.0	0.0018403778909269	0.0017176860315318	0.0	0.036194098521563
R233	0.1792944145608538	0.0334826918758221	0.0140518227802076	0.1226486723487076	0.0098170268738437	0.041524526526291	0.0	0.0011763321962122	0.0012084139833816	0.0002566542973553	0.0	0.0094748211440365
R234	0.0001440714594438	0.0432214378331652	0.0090765019449647	0.3758824376890938	0.0051865725399798	0.0097968592421841	0.0	0.0	0.0	0.0023051433511021	0.0	0.0083561446477452
R235	0.0092709650231774	0.0771175726927939	0.0084281500210703	0.4481668773704172	0.0202275600505689	0.0547829751369574	0.0	0.0	0.001685630004214	0.0075853350189633	0.0	0.0366624525916561
R236	0.0089074196910831	0.1204396853975172	0.0001895195678953	0.2797308822135885	0.0074860229318677	0.0036008717900123	0.0	0.0007580782715815	0.0007580782715815	0.0022742348147446	0.0	0.0583720269117786
R237	0.0002632704775068	0.0362325994668772	0.0030495496977874	0.0411689209201303	0.0004168449227191	0.0011408387358629	0.0003510273033424	0.0022158598523491	0.001557683658582	0.0009214466712739	0.0	0.0480358925417667
R240	0.0032839648314841	0.0176758425790244	0.0119975926313585	0.0794169981159723	0.0036503035377852	0.0130704416998115	0.0012298513711534	0.0011251831693531	0.0004186728072011	0.0001570023027004	0.0	0.0088575465773498
R241	0.000276104850817	0.0275414588690055	0.0178260194308788	0.142366563702566	0.0018291946366632	0.0142711694766087	0.0	0.0001380524254085	0.0001380524254085	0.0008973407651555	0.0	0.0107335760755146
R242	0.0011988764814687	0.038860724806467	0.0030314448174282	0.1712338151675001	0.0072018222922518	0.0028259231348907	0.0	0.000137014455025	0.0	0.003827841337261	0.0	0.0101219428649722
R243	0.0048476454293628	0.1141793628808864	0.0069252077562326	0.8234937673130194	0.018871191135734	0.0017313019390581	0.0	0.0	0.0	0.0072714681440443	0.0029432132963988	0.0425034626038781
R244	0.157580882990719	0.0540159597536646	0.0147020556856622	0.2475930262815508	0.0011709601873536	0.0292089513400988	0.0	0.002949084916298	0.0063535432387891	0.0077630323531962	0.0003469511666232	0.0596972851071211
R245	0.2136469940844683	0.0863942770669968	0.001650846058605	1.2320814417388912	0.0182968771495391	0.0130691979639565	0.00110056403907	0.00330169211721	0.0	0.1178979226853762	0.00110056403907	0.048975099738616
R246	0.1464038519410171	0.0539171431437456	0.0034105727756043	0.2858862473668372	0.0040625940415287	0.0248771190691142	0.0	0.0002006219279767	0.0	0.0	0.0513090580800481	0.0256294512990269
R247	0.2332280978689818	0.0860299921073401	0.0037884767166535	0.4400947119179163	0.0525651144435674	0.0315706393054459	0.0	0.0006314127861089	0.0	0.0006314127861089	0.0006314127861089	0.0543804262036306
R248	0.2173140165318638	0.0989245400408852	0.0101324326726513	0.8169940449737801	0.0119989334281397	0.0339525375522175	0.0	0.0021331437205581	0.0007110479068527	0.0196426984268065	0.010843480579504	0.0755488401031019
R250	0.0727341794780121	0.0183232034322488	0.0015194851626742	0.0502100464783696	0.0014301036825169	0.0498748659277797	0.0	0.0003575259206292	0.0	0.0003575259206292	0.002592062924562	0.0107257776188773
R251	0.4847172694854814	0.118950585838003	0.0034810663949736	0.5471217524197657	0.0495839701137714	0.0278485311597894	0.0	0.0025471217524197	0.0	0.0067923246731193	0.0123959925284428	0.0686024791985056
R252	0.2147119453184333	0.02842573505479	0.0026038841271563	0.0848974720624932	0.0	0.0381903005316263	0.0	0.0	0.0	0.0	0.0005424758598242	0.0105240316805902
R254	0.0059247397918334	0.1232185748598879	0.0006405124099279	0.7944755804643715	0.0068855084067253	0.0144115292233787	0.0	0.0	0.0	0.0012810248198558	0.0035228182546036	0.0496397117694155
R255	0.0008923591745677	0.0550659973972857	0.0210819854991634	0.4217512548800892	0.0024539877300613	0.0156906488194831	0.0	0.0001487265290946	0.0006692693809258	0.0	0.0	0.0207845324409741
R256	0.0001023659326176	0.0233650241199728	0.0010236593261762	0.129339355862369	0.0020473186523524	0.0003070977978528	0.0	0.0	0.0	0.0003070977978528	0.0	0.014241660375427
R258	0.3020806837258992	0.0241644197995624	0.0014753014193417	0.0403418629495853	0.0031540926896271	0.015414356208984	0.0	0.0	0.0	0.0019331535839649	0.0	0.0118532838174696
R260	0.1779065852133339	0.0313867910914425	0.0002886141709557	0.1353119438164413	9.620472365193132e-05	0.1690076482755303	0.0	0.0003848188946077	0.0	0.0	0.0003848188946077	0.005579873971812
R261	0.118861099398593	0.0200838862874769	0.0139144714941967	0.1117374226049133	0.0033510130711701	0.0430971349947848	0.0	0.0007989170235902	0.0001775371163533	0.0052373449324249	0.0021304453962406	0.0097423492598921
R262	0.1109532477911468	0.0325889091151267	0.0017759623495981	0.0723704657461261	0.001953558584558	0.023487102073436	0.0	0.0	0.0	0.0003551924699196	0.0013319717621986	0.0118101496248279
R263	0.1238839285714285	0.0398065476190476	0.0	0.1715029761904762	0.0014880952380952	0.0089285714285714	0.0	0.0	0.0	0.0044642857142857	0.0	0.0093005952380952
R264	0.1090006660793708	0.0154487441180894	0.006252551513719	0.056315936486109	0.0001718914505489	0.058421606755334	0.0	0.0012032401538428	0.0	0.0019767516813132	0.0	0.005285662104381
R265	0.9483614697120158	0.1112214498510427	0.0	0.5382323733862959	0.0019860973187686	0.0089374379344587	0.0	0.0203574975173783	0.0	0.003227408142999	0.0019860973187686	0.0528798411122145
R266	0.0013879250520471	0.1939625260235947	0.0013879250520471	1.166030534351145	0.0	0.0041637751561415	0.0	0.0	0.0	0.0	0.0	0.085530881332408
R267	0.0201180844084845	0.1362344194183249	0.001749398644216	1.1616006997594577	0.0271156789853487	0.0074349442379182	0.0	0.0	0.001749398644216	0.0268970041548217	0.001749398644216	0.0677891974633719
R269	0.0330871131188572	0.0950491422990049	0.0002034877805587	0.9020409824390044	0.0017092973566937	0.0013430193516879	0.0	0.000325580448894	0.0	0.0060639358606515	0.0	0.0172150662352725
R273	0.0726789810455149	0.0662803332126041	0.0033804177230472	0.3329711457201497	0.0009658336351563	0.0234214656525413	0.0	0.0	0.0	0.0	0.0019316672703126	0.026681154171194
R275	0.2822759668185535	0.0502395139619114	0.0051407874751723	0.3881294543755111	0.0030377380535109	0.1349456712232737	0.0	0.001869377263699	0.0	0.0022198855006425	0.0028040658955485	0.0243019044280873
R276	0.0504922197523023	0.0163543982216576	0.0088917116544934	0.0608129564941251	0.0	0.0050809780882819	0.0012702445220704	0.0	0.0	0.0012702445220704	0.0114322006986344	0.0050809780882819
R277	0.0500133014099494	0.014555542887546	0.003040322274161	0.0498232812678143	0.0009120966822483	0.063162695245696	0.0	0.000190020142135	0.000152016113708	0.0012541329380914	0.0011021168243833	0.0061566526051761
R77	0.0314307032270098	0.5119380712553628	0.0549337810110054	0.0968102965864577	0.0	0.0	0.0	0.0078343592613318	0.0	0.0305913075918671	0.0	0.0052229061742212
